EC_No;TA_Taux01;RT_Base01;RT_Montant01;JO_Num;EC_Date;CT_Num;JO_Type
576411;19.0;11636.15;2209.85;01;2024-07-29;1364;0
576475;19.0;394.96;75.043;03;2024-07-30;4110000080;1
576487;19.0;607.578;115.44;03;2024-07-30;4110000406;1
576493;19.0;3637.794;691.18;03;2024-07-30;4110000362;1
576499;19.0;22273.246;4232.107;01;2024-07-30;1343;0
576519;19.0;6012.228;1142.326;03;2024-07-30;4110000022;1
576542;19.0;18863.274;3584.173;02;2024-07-27;1346;2
576544;19.0;17666.257;3356.589;01;2024-07-30;1364;0
576562;19.0;4667.486;886.822;03;2024-07-30;4110000022;1
576582;19.0;470.174;89.333;03;2024-07-30;4110000070;1
576586;19.0;-27.31;-5.189;03;2024-07-30;4110000070;1
576747;19.0;1333.577;253.38;10;2024-07-24;4110000229;2
576811;19.0;8512.699;1617.413;10;2024-07-26;4110000958;2
576821;19.0;4498.512;854.718;10;2024-07-26;4110000066;2
576909;19.0;2126.108;403.961;10;2024-07-29;4110001437;2
576911;19.0;3386.024;643.345;10;2024-07-29;4110000213;2
576941;19.0;2155.508;409.546;03;2024-07-31;4110000526;1
576974;19.0;4470.019;849.303;03;2024-07-31;4110000366;1
576983;19.0;5081.477;965.481;03;2024-07-31;4110000371;1
577017;19.0;4294.34;815.924;03;2024-07-31;4110000294;1
577069;19.0;698.619;132.738;03;2024-07-31;4110000267;1
577073;19.0;1729.453;328.596;03;2024-07-31;4110000439;1
577094;19.0;1652.582;313.99;03;2024-07-31;4110000186;1
577098;19.0;-608.76;-115.664;03;2024-07-31;4110000409;1
577103;19.0;3164.047;601.17;03;2024-07-31;4110000409;1
577145;19.0;1754.62;333.379;01;2024-08-01;5200;0
577154;19.0;33984.023;6457.336;01;2024-08-01;1343;0
577175;19.0;2937.013;558.032;03;2024-08-01;4110000121;1
577182;19.0;1088.817;206.873;03;2024-08-01;4110000551;1
577188;19.0;1718.068;326.434;03;2024-08-01;4110000080;1
577192;19.0;2938.682;558.352;03;2024-08-01;4110000532;1
577199;19.0;5292.414;1005.559;03;2024-08-01;4110000100;1
577203;19.0;2388.592;453.832;03;2024-08-01;4110000048;1
577220;19.0;923.859;175.533;03;2024-08-01;4110000301;1
577224;19.0;3609.361;685.779;03;2024-08-01;4110000199;1
577248;19.0;5388.693;1023.849;03;2024-08-01;4110000025;1
577292;19.0;1915.966;364.033;03;2024-08-01;4110000526;1
577314;19.0;6646.639;1262.86;03;2024-08-01;4110001839;1
577346;19.0;-76.128;-14.464;03;2024-08-01;4110000036;1
577349;19.0;-1036.595;-196.953;03;2024-08-01;4110000100;1
