DO_Piece;DR_Montant;DR_Regle;DR_ModeReg
MF2300322;0.0;0;2
MF2300325;0.0;0;1
MF2300328;0.0;0;1
MF2300329;0.0;0;1
MF2300342;0.0;0;2
MF2300318;0.0;0;1
MF2300334;0.0;0;2
MF2300335;0.0;0;2
MF2300350;0.0;0;1
AM2300062;0.0;0;1
AM2300063;0.0;0;1
AM2300065;0.0;0;1
AM2300066;0.0;0;1
MF2300362;0.0;0;1
MF2300332;0.0;0;2
MF2300345;0.0;0;2
MF2300346;0.0;0;1
MF2300347;0.0;0;1
MF2300339;0.0;0;1
MF2300337;0.0;0;2
MF2300343;0.0;0;2
MF2300344;0.0;0;1
MF2300351;0.0;0;1
MF2300352;0.0;0;1
MF2300353;0.0;0;1
MF2300354;0.0;0;1
MF2300355;0.0;0;1
MF2300356;0.0;0;1
MF2300357;0.0;0;1
MF2300359;0.0;0;1
MF2300360;0.0;0;1
MF2300365;0.0;0;1
MF2300361;0.0;0;1
MF2300363;0.0;0;1
MF2300373;0.0;0;1
MF2300376;0.0;0;2
MF2300364;0.0;0;2
MF2300371;0.0;0;2
MF2300379;0.0;0;2
MF2300380;0.0;0;1
MF2300377;0.0;0;2
MF2300382;0.0;0;1
MF2300378;0.0;0;1
MF2300383;0.0;0;2
MF2300366;0.0;0;1
MF2300367;0.0;0;2
MF2300368;0.0;0;1
MF2300369;0.0;0;2
MF2300372;0.0;0;2
MF2300390;0.0;0;2
MF2300389;0.0;0;1
MF2300387;0.0;0;1
MF2300392;0.0;0;1
MF2300393;0.0;0;1
MF2300394;0.0;0;1
MF2300396;0.0;0;1
MF2300399;0.0;0;2
MF2300386;0.0;0;2
MF2300391;0.0;0;2
MF2300397;0.0;0;2
MF2300402;0.0;0;2
MF2300374;0.0;0;1
MF2300384;0.0;0;2
AM2300000;0.0;0;1
AM2300000;0.0;0;1
AM2300000;0.0;0;1
AM2300000;0.0;0;1
AM2300000;0.0;0;1
AM2300001;0.0;0;1
AM2300001;0.0;0;1
AM2300001;0.0;0;1
AM2300001;0.0;0;1
AM2300001;0.0;0;1
AM2300001;0.0;0;1
AM2300001;0.0;0;1
MF2300410;0.0;0;1
MF2300414;0.0;0;2
MF2300375;0.0;0;1
MF2300400;0.0;0;2
MF2300401;0.0;0;2
MF2300403;0.0;0;1
MF2300404;0.0;0;1
MF2300405;0.0;0;1
MF2300406;0.0;0;1
MF2300408;0.0;0;2
MF2300411;0.0;0;1
MF2300412;0.0;0;2
MF2300381;0.0;0;2
MF2300418;0.0;0;2
AM2300069;0.0;0;1
MF2300340;0.0;0;2
MF2300385;0.0;0;1
MF2300388;0.0;0;1
MF2300395;0.0;0;2
MF2300398;0.0;0;1
AM2300019;0.0;0;1
AM2300071;0.0;0;1
MF2300421;0.0;0;1
MF2300422;0.0;0;2
MF2300424;0.0;0;1
MF2300429;0.0;0;1
MF2300430;0.0;0;1
MF2300423;0.0;0;1
MF2300435;0.0;0;1
MF2300415;0.0;0;1
MF2300433;0.0;0;1
AM2300034;0.0;0;1
MF2300370;0.0;0;2
MF2300407;0.0;0;1
