RT_Num;CT_Num;DO_Type;DO_Piece;RT_Date;RT_Mode;RT_Montant;RT_Etat;BQ_Num
RF00003605;1032;0;AM250001087;2025-06-03 00:00:00;3;122655.357;2;AMEN BK 2
RF00003606;1032;0;AM250001102;2025-06-03 00:00:00;5;1238.942;2;
RF00003607;1032;0;AM250001096;2025-06-03 00:00:00;3;137594.568;2;AMEN BK 2
RF00003608;1032;0;AM250001097;2025-06-03 00:00:00;5;1389.844;2;
RF00003609;1351;0;AM250001048;2025-06-03 00:00:00;3;32000.0;2;AMEN BK 2
RF00003610;5207;0;AM250001145;2025-06-03 00:00:00;4;28704.653;2;BTL
RF00003611;5207;0;AM250001145;2025-06-03 00:00:00;5;289.945;2;
RF00003612;1178;0;AM250000935;2025-06-03 00:00:00;3;194270.446;2;AMEN BK 2
RF00003613;1178;0;AM250001067;2025-06-03 00:00:00;5;976.233;2;
RF00003614;00128;0;FA25000188;2025-06-04 00:00:00;2;73.0;2;AMEN BK 2
RF00003615;1351;0;AM250001090;2025-06-09 00:00:00;3;47144.257;2;AMEN BK 2
RF00003616;1351;0;AM250001138;2025-06-09 00:00:00;5;2314.588;2;
RF00003617;1032;0;AM250001106;2025-06-09 00:00:00;3;109817.244;2;AMEN BK 2
RF00003618;1032;0;AM250001111;2025-06-09 00:00:00;5;1109.265;1;
RF00003619;1377;0;AM250001177;2025-06-10 00:00:00;4;40614.339;2;AMEN BK 2
RF00003620;1377;0;AM250001177;2025-06-10 00:00:00;5;410.245;1;
RF00003621;1319;0;MAV250000173;2025-06-10 00:00:00;3;26988.695;2;AMEN BK 2
RF00003622;1032;0;AM250001108;2025-06-10 00:00:00;2;605386.487;2;ZITOUNA
RF00003623;1032;0;AM250001164;2025-06-10 00:00:00;5;6115.015;2;
RF00003624;5097;0;2025-011.692;2025-06-10 00:00:00;2;9505.0;2;AMEN BK 2
RF00003625;F5098;17;32303926;2025-06-11 00:00:00;4;18258.74;2;AMEN BK 2
RF00003626;1037;17;AM250001018;2025-06-11 00:00:00;3;102990.374;2;AMEN BK 2
RF00003627;1037;0;AM250001018;2025-06-11 00:00:00;5;1040.306;2;
RF00003628;1024;17;AM250001101;2025-06-11 00:00:00;3;14195.121;2;AMEN BK 2
RF00003629;1024;17;AM250001101;2025-06-11 12:05:00;5;143.385;2;
RF00003630;1378;17;AM250001017;2025-06-11 00:00:00;3;11760.992;2;AMEN BK 2
RF00003631;1378;17;AM250001017;2025-06-11 00:00:00;5;118.797;1;
RF00003632;1049;0;MAV250000174;2025-06-12 00:00:00;3;9872.024;2;AMEN BK 2
RF00003633;1049;0;AM250001175;2025-06-12 00:00:00;5;99.717;2;
RF00003634;1032;0;AM250001164;2025-06-13 00:00:00;3;112911.234;2;AMEN BK 2
RF00003635;1032;0;AM250001165;2025-06-13 00:00:00;5;1140.517;2;
RF00003636;1351;0;AM250001150;2025-06-13 00:00:00;3;73103.656;2;AMEN BK 2
RF00003637;1351;0;AM250001171;2025-06-13 00:00:00;5;738.42;2;
RF00003638;1179;0;AM250001546;2025-06-13 00:00:00;3;68244.092;2;AMEN BK 2
RF00003639;1375;0;AM250001143;2025-06-13 00:00:00;3;134654.332;1;AMEN BK 2
RF00003640;1375;0;;2025-06-13 00:00:00;5;1360.144;0;
RF00003641;1348;17;AM250001045;2025-06-14 00:00:00;3;11907.617;2;AMEN BK 2
RF00003642;1348;0;AM250001045;2025-06-14 00:00:00;5;120.278;2;
RF00003643;1032;0;AM250001178;2025-06-16 00:00:00;3;86058.368;2;AMEN BK 2
RF00003644;1032;0;AM250001178;2025-06-16 00:00:00;5;869.276;2;
RF00003645;FEX856;17;FV25050166;2025-06-16 00:00:00;2;233.077;2;AMEN BK 2
RF00003646;00127;17;F2500577;2025-06-16 00:00:00;2;602.843;2;AMEN BK 2
RF00003647;0763;0;21762;2025-06-17 00:00:00;2;2951.827;2;AMEN BK 2
RF00003648;0763;0;21762;2025-06-17 00:00:00;5;29.816;2;
RF00003649;FEXCV123;0;0647/25;2025-06-17 00:00:00;2;7049.79;2;AMEN BK 2
RF00003650;FEXCV123;0;0647/25;2025-06-17 00:00:00;5;71.21;2;
RF00003651;FEX027;0;FCN01011;2025-06-17 00:00:00;2;1734.545;2;AMEN BK 2
