MC_Numero;MC_Date;MC_TypeMvt;MC_Debit;MC_Credit;MC_Cloture;CA_No;CA_Type;CA_Solde;CA_SoldeEspece;CA_SoldeCheque;JO_Num
MC2511280009;2025-11-28;41;0.0;15.4;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280010;2025-11-28;2;4173.711;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280011;2025-11-28;25;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280012;2025-11-28;2;14760.072;0.0;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511280013;2025-11-28;2;3110.7;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280014;2025-11-28;2;4072.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280015;2025-11-28;2;14.2;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280016;2025-11-28;2;1040.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280017;2025-11-28;2;7690.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280018;2025-11-28;2;0.001;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280019;2025-11-28;29;0.0;250.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280020;2025-11-28;41;0.0;1.7;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280021;2025-11-28;52;0.0;40.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280022;2025-11-28;41;0.0;12.8;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280023;2025-11-28;34;0.0;50.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280024;2025-11-28;34;0.0;13.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280025;2025-11-28;29;0.0;80.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511280026;2025-11-28;29;0.0;20.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280027;2025-11-28;41;0.0;28.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280028;2025-11-28;2;5000.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280029;2025-11-28;8;0.0;4952.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280030;2025-11-28;34;0.0;50.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280031;2025-11-28;34;0.0;1750.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280032;2025-11-28;5;0.0;5000.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280032;2025-11-28;4;5000.0;0.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280033;2025-11-28;44;0.0;190.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280034;2025-11-28;29;0.0;300.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280035;2025-11-28;43;0.0;1600.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280036;2025-11-28;21;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280037;2025-11-28;29;0.0;320.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511280038;2025-11-28;54;0.0;78184.7;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511280039;2025-11-28;54;0.0;30111.708;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511280040;2025-11-28;54;0.0;37101.504;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511280041;2025-11-28;54;0.0;41424.196;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511280042;2025-11-28;29;0.0;200.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2512010001;2025-12-01;2;52.622;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010002;2025-12-01;2;4876.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010003;2025-12-01;2;10581.5;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010004;2025-12-01;2;10117.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010005;2025-12-01;2;4827.25;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010006;2025-12-01;2;6265.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010007;2025-12-01;5;0.0;5000.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010007;2025-12-01;4;5000.0;0.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010008;2025-12-01;2;1688.2;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010009;2025-12-01;2;3325.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010010;2025-12-01;2;4150.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010011;2025-12-01;2;35900.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010012;2025-12-01;29;0.0;160.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2512010013;2025-12-01;29;0.0;80.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2512010014;2025-12-01;29;0.0;40.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2512010015;2025-12-01;29;0.0;40.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2512010016;2025-12-01;29;0.0;400.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010017;2025-12-01;21;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010018;2025-12-01;29;0.0;40.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
